TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
EmergencyPanicLights,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,458,,,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Emergency panic lights,Emergency panic lights,,,,,,,,,,,,,,,,
PassiveFireProtection,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,463,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Passive fire protection,Passive fire protection,,,,,,,,,,,,,,,,
NumberOccupants,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,485,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Number of Occupants,Number of Occupants,,,,,,,,,,,,,,,,
OpeningRescue,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,469,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Rescue opening,Rescue opening,,,,,,,,,,,,,,,,
FireSafetyInstallationSmokeAlarmsystem,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,467,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Smoke alarm system,Smoke alarm system,,,,,,,,,,,,,,,,
FireHazardSpecial,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,472,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Special fire hazard,Special fire hazard,,,,,,,,,,,,,,,,
PlaceSaferefuge,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,470,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Safe refuge,Safe refuge,,,,,,,,,,,,,,,,
LengthHosepath,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,459,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Distance - Hose path,Distance - Hose path,,,,,,,,,,,,,,,,
HoseReel,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,457,,,,,,,,,A fire hose reel is a flexible hose that is connected to a hydrant in order to extinguish a fire. It is often supported by a reel and the ensemble is known as a hydrant or reel depending on the region,,,,,,,"November 21, 2025 2:14 PM",,,IfcFireSuppressionTerminal.HOSEREEL,,,,,,,No,Hose reel,Hose reel,,,,,,,,,,,,,,,,
DoorExit,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,473,,,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Exit door,Exit door,,,,,,,,,,,,,,,,
UseCategory AK1,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,492,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK1,Anvendelseskategori 1,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
UseCategory AK2,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,491,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK2,Anvendelseskategori 2,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
UseCategory AK4,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,489,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK4,Anvendelseskategori 4,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
UseCategory AK3,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,494,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK3,Anvendelseskategori 3,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
UseCategory AK5,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,493,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK5,Anvendelseskategori 5,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
UseCategory AK6,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,490,,,,,,BR18-VK5-K01-1.4.3,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Use category AK6,Anvendelseskategori 6,,,,,,,,,,,,,,,,UseCategory (https://www.notion.so/UseCategory-151f8487e6e78021aaf3e1de904dfabe?pvs=21)
AggregateRoomType,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,495,,,,,Expert definition,NA,"Conjunto de locais com a mesma classificação (A, D ou E) possuindo circulações exclusivas","Group of rooms with the same classification (type A, D or E) with exclusive circulation.",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Aggregate Room,Agregação de locais,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
CoexistenceOccupancyType,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,496,,,,,Expert definition,NA,"Existência num mesmo edifício
de espaços ocupados por diferentes utilizações-tipo","Existence in the same building
of spaces occupied by different types of occupancy",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Coexistence Occupancy Type,Coexistência de utilizações-tipo,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
Dwelling,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,497,,,,,Expert definition,NA,"Unidade funcional destinada a habitação dentro de um edifício, isto é, o conjunto de compartimentos que constituem uma residência independente (apartamento, moradia, estúdio, etc.).","Functional unit intended for housing within a building, i.e. the set of rooms that constitute an independent residence (flat, house, studio, etc.).",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Dwelling,Fogo de habitação,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
Building,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,499,,,,,Expert definition,NA,"Construção fixa permanente, composta por uma ou mais estruturas, destinada a permitir a ocupação humana ou a abrigar atividades.","Permanent fixed construction, consisting of one or more structures, intended to allow human occupation or to house activities.",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Building,Edifício,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
Level,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,500,,,,,Expert definition,NA,"Nível ou elemento horizontal da construção, destinado ao uso humano ou técnico, situado entre a superfície de apoio inferior (piso do nível) e o teto ou laje do nível superior.","Horizontal level or element of a building, intended for human or technical use, located between the lower support surface (floor of the level) and the ceiling or slab of the upper level.",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Level,Piso de um edifício,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
Volume,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,506,,,,,Expert definition,NA,"Espaço tridimensional delimitado pelas superfícies internas do compartimento (paredes, tecto e pavimento).","Three-dimensional space delimited by the internal surfaces of the compartment (walls, ceiling, and floor).",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Volume,Volume de um compartimento,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
RoomActivity,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,502,,,,,Expert definition,NA,Finalidade ou utilização desenvolvida num compartimento interior de um edifício.,Purpose or use developed in an interior compartment of a building.,NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Room activity,Atividade desenvolvida num compartimento,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
ProtectedLobby,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,504,,,,,Explicit definition,n.º 1 do art.º 3º do Anexo I ao RT-SCIE,NA,NA,"Independent fire compartment, with a degree of resistance and smoke control systems, which generally establishes communication between two spaces with the aim of ensuring the temporary protection of one of them or preventing the spread of fire between them.","Compartimento corta-fogo independente, com um grau de resistência e os meios de controlo de fumo, que estabelece, em regra, a comunicação entre dois espaços com o objetivo de garantir a proteção temporária de um deles ou evitar a propagação do incêndio entre ambos.",,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Protected lobby,Câmara corta-fogo,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
OutdoorSpace,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,505,,,,,Expert definition,NA," Local que não está limitado por paredes ou coberturas que o tornem interior."," A place that is not enclosed by walls or roofs that make it interior.",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,OutdoorSpace,Espaço exterior,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
TechnicalDucts,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,503,,,,,Expert definition,NA,Espaços ou poços destinadas à passagem de infraestruturas técnicas.,Spaces or shafts intended for the passage of technical infrastructure.,NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Technical ducts / shafts,Ductos técnicos,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
CommonCirculationSpaces,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,498,,,,,Expert definition,NA,"Conjunto de espaços destinados ao movimento de pessoas que são partilhados por todos os utilizadores do edifício, independentemente do piso ou da unidade (fogo, loja, escritório, etc.).","Set of spaces intended for the movement of people that are shared by all users of the building, regardless of the floor or unit (fire, shop, office, etc.).",NA,NA,,NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Common circulation spaces (in a building),Circulações comuns (de um edifício),NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
GableWall,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,501,,,,,Explicit definition,n.º 40 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,"Side wall of a building, without openings, with the function of insulation from adjacent buildings, whether existing or to be built.","Parede lateral de um edifício, sem aberturas, com a função de isolamento relativamente a edifícios contíguos, já existentes ou a construir",,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Gable wall,Parede de empena,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,
LowRiseBuilding,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,507,,,,,Explicit definition,Artikel 1.2.2.3,NA,NA,Building of which the height of the building is lower than 10m,Gebouw waarvan de hoogte lager is dan 10m,,NA,NA,NA,NA,"January 22, 2026 12:28 PM",,,,,,,NA,NA,KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21),No,Low rise Building,Laag gebouw,NA,,,,,,0. BUILDING INFORMATION,,,,,,,NA,,
RiskClass,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,508,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"Classes numbered from 1 to 4. The risk class is determined based on the category of use, the complexity of the building and the risk factors involved in evacuation and rescue. ","Klasse nummereret fra 1-4. Risikoklassen fastlægges på baggrund af anvendelseskategori, byggeriets kompleksitet og risikoforhold ved evakuering og redning. ","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,,NA,,Yes,Risk class,Risikoklasse,NA,,,,,,"0. BUILDING INFORMATION, 1. COMPARTMENTATION",,,,,,,,,
AreaBuildingFunctionalFireUnit,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,509,AreaFireCompartment (https://www.notion.so/AreaFireCompartment-96ee5e0e075a400cbe3cb8409cd9b61e?pvs=21),,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Functional Fire Unit Area,Bygningsafsnitsareal,,,,,,,,,,,,,,,,
FireSafetyAssessmentCoefficient,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,510,,,,,Explicit Definition,"Annex 3, Paragraph 1, Table 2",NA,NA,"G – assessment coefficient for fire safety of a building, generally considered to be equal to 1.
The coefficient G is determined as follows:
G = G1+…+G8, if the coefficient G1 is assessed;
G = 1+(G2+…+G8), if the G1 coefficient is not assessed;
where: G1…G8 – partial coefficients for the fire safety assessment of a building, depending on the fire safety systems installed in the building and the capabilities of the fire rescue service; their numerical values are given in Table 2 of Annex 3 (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.388658/asr).
The values of the partial coefficients G3 and G4 shall only be applied with the approval of the state fire rescue service.","G – pastato gaisrinės saugos įvertinimo koeficientas, bendruoju atveju laikomas lygus 1.
Koeficientas G nustatomas taip:
G = G1+…+G8, jeigu yra įvertinamas G1 koeficientas;
G = 1+(G2+…+G8), jeigu G1 koeficientas neįvertinamas;
čia: G1…G8 – statinio gaisrinės saugos įvertinimo daliniai koeficientai, priklausantys nuo pastate įdiegiamų gaisrinės saugos sistemų ir priešgaisrinės gelbėjimo tarnybos galimybių; jų skaitinės vertės pateiktos 3 priedo 2 lentelėje (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.388658/asr).
G3, G4 dalinių koeficientų reikšmės taikomos tik pritarus valstybinei priešgaisrinei gelbėjimo tarnybai.","1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,,Number,G,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Assessment coefficient for fire safety of a building,Pastato gaisrinės saugos įvertinimo koeficientas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
PartialCoefficient,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,512,,,,,Explicit Definition,"Annex 3, Paragraph 1, Table 2",NA,NA,"G1…G8 – partial coefficients for the fire safety assessment of a building, depending on the fire safety systems installed in the building and the capabilities of the fire rescue service; their numerical values are given in Table 2 of Annex 3 (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.388658/asr).
The values of the partial coefficients G3 and G4 shall only be applied with the approval of the state fire rescue service.","G1…G8 – statinio gaisrinės saugos įvertinimo daliniai koeficientai, priklausantys nuo pastate įdiegiamų gaisrinės saugos sistemų ir priešgaisrinės gelbėjimo tarnybos galimybių; jų skaitinės vertės pateiktos 3 priedo 2 lentelėje (https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.388658/asr).
G3, G4 dalinių koeficientų reikšmės taikomos tik pritarus valstybinei priešgaisrinei gelbėjimo tarnybai.","1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,,Number,G1…G8,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,partial coefficients for the fire safety assessment of a building,statinio gaisrinės saugos įvertinimo daliniai koeficientai,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
BuildingStoreyFloorArea,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,511,,,,,Explicit Definition,Paragraph 3.7.2.33,NA,NA,"Total floor area contain within a storey, excluding the horizontal area of external walls","Bendras aukšto plotas, neįskaitant išorinių sienų horizontalaus ploto","1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,m2,Number,NA,NA,ISO 6707-1:2020 - Buildings and civil engineering works - Vocabulary - Part 1: General terms (https://www.notion.so/ISO-6707-1-2020-Buildings-and-civil-engineering-works-Vocabulary-Part-1-General-terms-2a8f8487e6e780c6b117df699c06d672?pvs=21),Yes,Floor area of the storey of the building,Pastato aukšto grindų plotas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
FunctionType,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,515,,,,,,Bbl - Bijlage 1,,,,,,,,,,"January 6, 2026 1:14 PM",,,,,Choice,Enumeration (choice),,,,No,Function type,Gebruiksfunctie,,,"Can be: FunctionTypeLightIndustrialCultivating, FunctionTypeAncillayFunction, FunctionTypeAssemblyFunction, FunctionTypeChildCare, FunctionTypeDetention, FunctionTypeEducational, FunctionTypeHealtCare, FunctionTypeHealthCareWithBedArea, FunctionTypeIndustrial, FunctionTypeLightIndustrial, FunctionTypeLightIndustrialAnimals, FunctionTypeOffice, FunctionTypeRemainingUse, FunctionTypeRemainingUseParkingVehicles, FunctionTypeRemainingUsePassengerTransport, FunctionTypeResidential, FunctionTypeResidantialCaravan, FunctionTypeShop,FunctionTypeSports, FunctionTypeNotBuilding, FunctionTypeTemporaryAccomodation. ",Overkoepelende term om alle gebruiksfuncties aan te duiden,,,,,,,,nl-NL,NA,,To be reviewed,
Building,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,518,,,,,,Bbl - Bijlage 1,,,,,,,,,,"January 6, 2026 1:14 PM",,,,,[-],Boolean (yes/no),,,,No,Building,Gebouw,,,Building can be categorized by one or more FunctionType,"Gebouw kan worden gecategoriseerd door een of meerdere gebruiksfunctie ",,,,,,,,nl-NL,NA,,To be reviewed,
MaxBuildingStoreyFloorArea,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,514,,,,,Implicit Definition,"Chapter X, Paragraph 51",NA,NA,NA,NA,"1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,The largest floor area of the storey of the building,Didžiausią plotą turintis statinio aukšto plotas,"January 6, 2026 1:10 PM",,,,property,m2,Number,NA,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Maximum floor area of the building storey,Maksimalus pastato aukšto grindų plotas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
BuildingStorey,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,517,,,,,Explicit Definition,"Chapter I, Paragraph 2.14.",NA,NA,The space in a building from the floor surface of the premises to the floor surface of the premises above (upper floor – to the top of the attic floor insulation or the top of the roof covering).,Erdvė nuo patalpų grindų paviršiaus iki virš jų esančių patalpų grindų paviršiaus (viršutinis aukštas – iki pastogės perdangos šilumos izoliacijos arba sutapdinto denginio viršaus).,"1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,object,,,NA,NA,NEKILNOJAMŲJŲ DAIKTŲ KADASTRO DUOMENŲ NUSTATYMO TAISYKLĖS Nr. D1-349 (https://www.notion.so/NEKILNOJAM-J-DAIKT-KADASTRO-DUOMEN-NUSTATYMO-TAISYKL-S-Nr-D1-349-2c7f8487e6e7803f8214d8b43bf2359c?pvs=21),Yes,Building storey,Pastato aukštas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
